"","mean.diff","mean.1","mean.2","t","df","p.val","p.val.adj","description","cell.up","ligand.up","receptor.in.path","ligand.in.path"
"Cation.channel.complex",-0.042044688224288,0.225758001626014,0.267802689850302,-6.39908256431685,374.577269950377,4.67252776134375e-10,5.3704082204476e-10,"Cation channel complex","6","Sult5a1","Nrn1","Kcnk2"
"Somatodendritic.compartment",0.142819325284851,0.0998216573429891,-0.0429976679418622,31.2384513723266,378.376691427215,8.27366735754171e-107,3.28611384966878e-106,"Somatodendritic compartment","2;3;4;6;6;11","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8;Kcnk2;Npy"
"Presynaptic.membrane",0.0103753674410136,0.228855041757843,0.218479674316829,1.13820717108631,392.066440722245,0.255729022958914,0.260489232279762,"Presynaptic membrane","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Cell.projection",0.124183816798303,0.0286770087706829,-0.09550680802762,30.1408313024256,449.941384223761,5.05979121267229e-110,2.1482303208975e-109,"Cell projection","2;3;4;6;6;11;6;6;8;10;11;15","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Itga8;Rhob;Kcnk2;Macf1;Npy"
"Neuron.projection",0.160930530411485,0.0679150083491643,-0.0930155220623203,31.7219659843728,402.599018574682,1.46068517305965e-111,6.45190536082402e-111,"Neuron projection","2;3;4;6;6;11;6;6;8;10;11;15","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Itga8;Kcnk2;Npy"
"Neuronal.cell.body",0.176190771584145,0.107535782877504,-0.0686549887066416,32.7235698884707,373.455503302099,9.8502919879141e-112,4.3902885104504e-111,"Neuronal cell body","2;3;4;6;6;11","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8;Kcnk2;Npy"
"Dendritic.spine",0.330740111161017,0.229036262642104,-0.101703848518914,32.489248689642,371.639923933673,1.24728132925344e-110,5.34161786658537e-110,"Dendritic spine","2;3;4;6;6;11","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8"
"Perikaryon",0.0806060240226551,0.0258744364051661,-0.054731587617489,11.5844626821662,385.288822971308,7.87538798952315e-27,1.02338485088131e-26,"Perikaryon","2;3;4;6;6;11","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8;Npy"
"Organelle",0.0859152415473133,-0.0522928327171249,-0.138208074264438,23.4206139697981,449.393347590457,7.1489823555371e-80,1.77821909601112e-79,"Organelle","6;10;15;6;1;10;15;2;3;4;6;6;11;10;15;6;6;8;10;11;15;6","Hspa1b;Hspa1b;Hspa1b;Dact1;Adgrl2;Adgrl2;Adgrl2;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Ramp2;Ramp2;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Gata6;Gata6;Gata6;Pcbd1;Rcan1;Rcan1;Rcan1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Pmepa1;Pmepa1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Itga8;Rhob;Hspa1b;Stbd1;Dact1;Kcnk2;Prdx4;Gbp6;Macf1;Npy"
"Membrane.bounded.organelle",0.0823141059371444,-0.0491770382183544,-0.131491144155499,23.4336972155664,470.476194833255,4.8190239027269e-81,1.22338622272835e-80,"Membrane-bounded organelle","6;10;15;6;1;10;15;2;3;4;6;6;11;10;15;6;6;8;10;11;15;6","Hspa1b;Hspa1b;Hspa1b;Dact1;Adgrl2;Adgrl2;Adgrl2;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Ramp2;Ramp2;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Gata6;Gata6;Gata6;Pcbd1;Rcan1;Rcan1;Rcan1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Pmepa1;Pmepa1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Itga8;Rhob;Hspa1b;Stbd1;Dact1;Kcnk2;Prdx4;Gbp6;Npy"
"Non.membrane.bounded.organelle",0.107197478696195,-0.0157497570331277,-0.122947235729323,21.4871220744433,410.159529986347,3.71830161395806e-69,7.776066007959e-69,"Non-membrane-bounded organelle","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Rhob;Hspa1b;Macf1"
"Intracellular.organelle",0.0839514377677417,-0.0547257059809361,-0.138677143748678,23.2997854903284,447.155159130551,3.37966203009039e-79,8.32241774909758e-79,"Intracellular organelle","6;10;15;6;1;10;15;2;3;4;6;6;11;10;15;6;6;8;10;11;15;6","Hspa1b;Hspa1b;Hspa1b;Dact1;Adgrl2;Adgrl2;Adgrl2;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Ramp2;Ramp2;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Gata6;Gata6;Gata6;Pcbd1;Rcan1;Rcan1;Rcan1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Pmepa1;Pmepa1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Itga8;Rhob;Hspa1b;Stbd1;Dact1;Kcnk2;Prdx4;Gbp6;Macf1;Npy"
"Intracellular.membrane.bounded.organelle",0.0835063151698672,-0.049625051020326,-0.133131366190193,23.8118786618184,461.954227289537,2.31385728986564e-82,5.997761659257e-82,"Intracellular membrane-bounded organelle","6;10;15;6;1;10;15;2;3;4;6;6;11;10;15;6;6;8;10;11;15;6","Hspa1b;Hspa1b;Hspa1b;Dact1;Adgrl2;Adgrl2;Adgrl2;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Ramp2;Ramp2;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Dkk3","Gata6;Gata6;Gata6;Pcbd1;Rcan1;Rcan1;Rcan1;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Pmepa1;Pmepa1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Lgals1","Itga8;Rhob;Hspa1b;Stbd1;Dact1;Kcnk2;Prdx4;Gbp6;Npy"
"Intracellular.non.membrane.bounded.organelle",0.107522799991944,-0.0157575999638169,-0.123280399955761,21.5069595352135,409.258463393319,3.36835623063377e-69,7.05921465356227e-69,"Intracellular non-membrane-bounded organelle","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Rhob;Hspa1b;Macf1"
"Organelle.lumen",0.0961966772383716,-0.0559706493902965,-0.152167326628668,21.2116397994092,408.0033733254,7.68239513343892e-68,1.55383145922738e-67,"Organelle lumen","6;10;15;6","Hspa1b;Hspa1b;Hspa1b;Dact1","Gata6;Gata6;Gata6;Pcbd1","Hspa1b;Dact1"
"Receptor.complex",-0.109506518455076,-0.258670616888402,-0.149164098433326,-24.4105625792487,442.121331767611,5.7752645932104e-84,1.56711725187665e-83,"Receptor complex","2;3;4;6;6;11;6","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Sult5a1","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Nrn1","Itga8"
"Cell.body",0.183173648540406,0.0962547637495879,-0.0869188847908176,35.7568994510351,381.029878022795,8.33077923688447e-124,4.63605511205153e-123,"Cell body","2;3;4;6;6;11","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8;Hspa1b;Kcnk2;Npy"
"Neuron.spine",0.330740111161017,0.229036262642104,-0.101703848518914,32.489248689642,371.639923933673,1.24728132925344e-110,5.34161786658537e-110,"Neuron spine","2;3;4;6;6;11","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8"
"Membrane.raft",0.0791732438246314,-0.11986127964583,-0.199034523470461,14.8748738878013,418.56784865036,1.77305383784989e-40,2.59503422033008e-40,"Membrane raft","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Apical.part.of.cell",0.0696971855100249,-0.0119403448901599,-0.0816375304001848,11.9799050360766,479.338919689054,4.12859524393267e-29,5.5029314144434e-29,"Apical part of cell","2;3;4;6;6;11","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8;Kcnk2"
"Synapse",0.132427407799073,0.132940959946242,0.000513552147169053,26.3384427327951,372.996904400069,3.99629252462582e-87,1.1442872490571e-86,"Synapse","2;3;4;6;6;11;6;6;6;8;10;11;15","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Itga8;Dact1;Kcnk2;Npy"
"Anchored.component.of.plasma.membrane",-0.00256302155071279,-0.0524491891071412,-0.0498861675564284,-0.272368692065496,421.009985222319,0.785472072875605,0.788674813233915,"Anchored component of plasma membrane","6","Sult5a1","Nrn1",NA
"Collagen.containing.extracellular.matrix",0.484309449956751,0.3918713701737,-0.0924380797830504,80.4195699714057,373.701458157101,5.13637874051928e-238,2.52966652970574e-235,"Collagen-containing extracellular matrix","6","Dkk3","Lgals1",NA
"Intracellular.organelle.lumen",0.0961966772383716,-0.0559706493902965,-0.152167326628668,21.2116397994092,408.0033733254,7.68239513343892e-68,1.55383145922738e-67,"Intracellular organelle lumen","6;10;15;6","Hspa1b;Hspa1b;Hspa1b;Dact1","Gata6;Gata6;Gata6;Pcbd1","Hspa1b;Dact1"
"Cell.periphery",0.121694716928757,0.033003979080257,-0.0886907378485001,42.641678374328,400.540891331048,5.57067887562391e-151,8.70971221030087e-150,"Cell periphery","2;3;4;6;6;11;6;6;6;8;10;11;15;10;15;6","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Sema6a;Sema6a;Dkk3","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Kcnk3;Kcnk3;Lgals1","Itga8;Rhob;Hspa1b;Stbd1;Kcnk2"
"Synaptic.membrane",0.024360765203704,0.139291478420805,0.114930713217101,3.40794366982481,392.348170462245,0.000722303278184287,0.00077249590554997,"Synaptic membrane","2;3;4;6;6;11;6;6;8;10;11;15","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Itga8"
"Dendritic.tree",0.127310079080928,0.107011632461225,-0.0202984466197034,23.3305190541309,372.482337620768,7.53635546206724e-75,1.72234573785063e-74,"Dendritic tree","2;3;4;6;6;11","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8"
"Intracellular.vesicle",0.00512283656114206,-0.0960286386256457,-0.101151475186788,1.23594010627494,561.657736637226,0.216997475617814,0.221265541908433,"Intracellular vesicle","10;15","Ramp2;Ramp2","Pmepa1;Pmepa1","Rhob;Gbp6;Npy"
"Bounding.membrane.of.organelle",-0.00914802690169725,-0.181929618247997,-0.1727815913463,-1.8187909176579,504.175092677986,0.0695364459554611,0.0719468479686231,"Bounding membrane of organelle","10;15;6;6;8;10;11;15","Ramp2;Ramp2;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Pmepa1;Pmepa1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Rhob"
"Plasma.membrane.region",0.0903854880833996,-0.0100949121829573,-0.100480400266357,19.729867428894,444.004342806027,1.11395528199277e-62,2.08206063142861e-62,"Plasma membrane region","2;3;4;6;6;11;6;6;8;10;11;15","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Itga8;Rhob;Kcnk2"
"Protein.complex.involved.in.cell.adhesion",-0.0587987892983245,-0.176839761062697,-0.118040971764372,-6.11276053354372,404.562408620587,2.30655660611458e-09,2.63262833953981e-09,"Protein complex involved in cell adhesion","2;3;4;6;6;11","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8"
"Golgi.apparatus.subcompartment",0.0806003113199469,-0.120374544128365,-0.200974855448312,11.7377525121744,447.158604581168,6.42651196379203e-28,8.47404857340716e-28,"Golgi apparatus subcompartment","10;15","Ramp2;Ramp2","Pmepa1;Pmepa1",NA
"Presynapse",-0.0809731953740036,0.103329434251262,0.184302629625266,-13.8444795249444,383.340832604379,1.24403072337392e-35,1.7381138475508e-35,"Presynapse","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Kcnk2;Npy"
"Postsynapse",0.145816054352225,0.10504549300971,-0.0407705613425154,20.3824034299622,370.85181129231,1.71545741325921e-62,3.18816141898174e-62,"Postsynapse","2;3;4;6;6;11","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8"
"Membrane.protein.complex",-0.0596012048576434,-0.196819243451866,-0.137218038594223,-13.8946574662944,440.868987429973,1.16387563697602e-36,1.6518984184746e-36,"Membrane protein complex","2;3;4;6;6;11;6","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Sult5a1","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Nrn1","Itga8;Kcnk2"
"Plasma.membrane.protein.complex",-0.0867378162767625,-0.217036036429508,-0.130298220152745,-17.4748799902819,445.336106306679,1.87918333027509e-52,3.04941611255513e-52,"Plasma membrane protein complex","2;3;4;6;6;11;6","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Sult5a1","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Nrn1","Itga8;Kcnk2"
"Plasma.membrane.signaling.receptor.complex",-0.150158783540234,-0.358548750193824,-0.20838996665359,-28.6330897413595,469.94032874375,4.30902641433597e-105,1.67102008587438e-104,"Plasma membrane signaling receptor complex","2;3;4;6;6;11;6","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Sult5a1","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Nrn1","Itga8"
"Membrane.microdomain",0.0791732438246314,-0.11986127964583,-0.199034523470461,14.8748738878013,418.56784865036,1.77305383784989e-40,2.59503422033008e-40,"Membrane microdomain","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Intrinsic.component.of.presynaptic.membrane",0.0171235740498558,0.251176657452612,0.234053083402756,1.78345637277893,388.792936883071,0.0752919900361728,0.0777136146771688,"Intrinsic component of presynaptic membrane","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Glutamatergic.synapse",0.196012311255983,0.170965816452887,-0.0250464948030965,28.1212708531115,379.956112371216,7.03855203960082e-95,2.215007590737e-94,"Glutamatergic synapse","6;6;6;8;10;11;15","Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Neuron.to.neuron.synapse",0.14575068098814,0.134421029499412,-0.0113296514887278,19.726258055678,392.885808028053,1.06920030956453e-60,1.93240789893773e-60,"Neuron to neuron synapse","2;3;4;6;6;11","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8"
"Integral.component.of.presynaptic.membrane",0.053098834687412,0.344455163600356,0.291356328912944,6.76357414760501,374.944219237097,5.18435871622025e-11,6.00775686526699e-11,"Integral component of presynaptic membrane","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Intrinsic.component.of.synaptic.membrane",-0.0443696409426287,0.0737750687771282,0.118144709719757,-5.19712237126932,401.347169780641,3.22899319770648e-07,3.60199127943475e-07,"Intrinsic component of synaptic membrane","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Postsynaptic.specialization",0.151977606885632,0.094500078104737,-0.0574775287808952,18.8850272164042,388.912290832492,6.4080302188319e-57,1.09963584765669e-56,"Postsynaptic specialization","2;3;4;6;6;11","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8","Itga8"
"Integral.component.of.synaptic.membrane",-0.0542198449120416,0.0955598010736967,0.149779645985738,-6.65363989225315,395.416768851456,9.55337853400615e-11,1.10188265292694e-10,"Integral component of synaptic membrane","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1",NA
"Cellular.anatomical.entity",0.157027671393654,-0.00273364571716449,-0.159761317110819,40.0690515710815,379.437450903386,2.1064395831766e-138,1.82003771002539e-137,"Cellular anatomical entity","6;10;15;6;1;10;15;6;9;10;14;15;2;3;4;6;6;11;10;15;6;6;6;8;10;11;15;10;15;6","Hspa1b;Hspa1b;Hspa1b;Dact1;Adgrl2;Adgrl2;Adgrl2;Gbp6;Gbp6;Gbp6;Gbp6;Gbp6;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Ramp2;Ramp2;Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Sema6a;Sema6a;Dkk3","Gata6;Gata6;Gata6;Pcbd1;Rcan1;Rcan1;Rcan1;C2;C2;C2;C2;C2;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Pmepa1;Pmepa1;Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Kcnk3;Kcnk3;Lgals1","Dkk3;Sftpc;Itga8;Rhob;Ccl8;Hspa1b;Stbd1;Sult5a1;Dact1;Kcnk2;Prdx4;Gbp6;Macf1;Npy"
"Plasma.membrane.bounded.cell.projection",0.130762085515176,0.0365041422589801,-0.094257943256196,32.1902821891487,451.197434984077,5.99635918589644e-119,3.02893015287589e-118,"Plasma membrane bounded cell projection","2;3;4;6;6;11;6;6;8;10;11;15","Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Itga8;Kcnk2;Npy"
"Distal.axon",0.0772429573565024,0.0698340306407085,-0.00740892671579383,11.3078728729018,389.352242955909,7.88269686070776e-26,1.01231504664891e-25,"Distal axon","6;6;8;10;11;15","Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4","Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1","Kcnk2;Npy"
"Transmembrane.transporter.complex",0.0413639776280711,0.233931909108434,0.192567931480363,7.08115408222054,380.508849678441,6.94831423307075e-12,8.07086028251732e-12,"Transmembrane transporter complex","6","Sult5a1","Nrn1","Kcnk2"
"Transporter.complex",0.0413639776280711,0.233931909108434,0.192567931480363,7.08115408222054,380.508849678441,6.94831423307075e-12,8.07086028251732e-12,"Transporter complex","6","Sult5a1","Nrn1","Kcnk2"
"Transcription.cis.regulatory.region.binding",0.0782970832730137,-0.0186018441409556,-0.0968989274139694,12.3827453988052,372.563495229849,9.87710456819872e-30,1.32727803542643e-29,"Transcription cis-regulatory region binding","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"RNA.polymerase.II.transcription.regulatory.region.sequence.specific.DNA.binding",0.097677555884268,0.014294389917976,-0.083383165966292,14.6356482208742,369.555541102879,1.39748954380152e-38,2.01246666760891e-38,"RNA polymerase II transcription regulatory region sequence-specific DNA binding","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"RNA.polymerase.II.cis.regulatory.region.sequence.specific.DNA.binding",0.113285474399597,-0.00973391858133219,-0.123019392980929,15.3878845497019,370.997765665118,1.12947882365875e-41,1.67550698991546e-41,"RNA polymerase II cis-regulatory region sequence-specific DNA binding","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"DNA.binding.transcription.factor.activity..RNA.polymerase.II.specific",0.106046487299484,0.0154586298566887,-0.0905878574427953,15.6726697047159,370.213108343368,7.99837302783833e-43,1.20280876830851e-42,"DNA-binding transcription factor activity, RNA polymerase II-specific","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Cis.regulatory.region.sequence.specific.DNA.binding",0.113131801589757,-0.00887346654596859,-0.122005268135726,15.4388882376194,370.923903582025,7.00778969709826e-42,1.04427728466593e-41,"Cis-regulatory region sequence-specific DNA binding","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Transcription.regulatory.region.nucleic.acid.binding",0.0782970832730137,-0.0186018441409556,-0.0968989274139694,12.3827453988052,372.563495229849,9.87710456819872e-30,1.32727803542643e-29,"Transcription regulatory region nucleic acid binding","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Molecular_function",0.133259549670739,0.0127958166014872,-0.120463733069252,38.9489293948023,387.983727340899,3.9094367441404e-136,3.20899599414858e-135,"Molecular_function","6;10;15;6;1;10;15;6;9;10;14;15;2;3;4;6;6;11;10;15;6;6;6;8;10;11;15;10;15;6","Hspa1b;Hspa1b;Hspa1b;Dact1;Adgrl2;Adgrl2;Adgrl2;Gbp6;Gbp6;Gbp6;Gbp6;Gbp6;Ceacam10;Ceacam10;Ceacam10;Kcnk2;Ccl8;Ccl8;Ramp2;Ramp2;Sult5a1;Stbd1;Prdx4;Prdx4;Prdx4;Prdx4;Prdx4;Sema6a;Sema6a;Dkk3","Gata6;Gata6;Gata6;Pcbd1;Rcan1;Rcan1;Rcan1;C2;C2;C2;C2;C2;Itga8;Itga8;Itga8;Itga8;Itga8;Itga8;Pmepa1;Pmepa1;Nrn1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Cnr1;Kcnk3;Kcnk3;Lgals1","Dkk3;Itga8;Rhob;Ccl8;Hspa1b;Stbd1;Sult5a1;Dact1;Kcnk2;Prdx4;Gbp6;Macf1;Npy"
"Nucleic.acid.binding",0.0609704600160074,-0.0116613697038124,-0.0726318297198198,11.9751892662386,374.676233446746,3.34552270620719e-28,4.42922024948129e-28,"Nucleic acid binding","6;10;15;1;10;15","Hspa1b;Hspa1b;Hspa1b;Adgrl2;Adgrl2;Adgrl2","Gata6;Gata6;Gata6;Rcan1;Rcan1;Rcan1",NA
"DNA.binding",0.045871698116313,-0.0508473741593226,-0.0967190722756355,8.40637366806665,375.495704736724,8.88047829797201e-16,1.05515936351055e-15,"DNA binding","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Chromatin.binding",0.198290339611224,-0.0331735515519934,-0.231463891163218,21.4387835420862,399.096731552624,2.14641640080902e-68,4.43232736854693e-68,"Chromatin binding","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Double.stranded.DNA.binding",0.0776299738511346,-0.0197033739616443,-0.0973333478127789,12.5089945360459,372.607448970586,3.22882628669989e-30,4.36268023648751e-30,"Double-stranded DNA binding","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"DNA.binding.transcription.factor.activity",0.091554548676371,0.011422905533608,-0.080131643142763,14.0062487485235,371.175436817566,4.43236618755182e-36,6.23697242105506e-36,"DNA-binding transcription factor activity","6;10;15","Hspa1b;Hspa1b;Hspa1b","Gata6;Gata6;Gata6",NA
"Transcription.coregulator.activity",0.0766144915855579,-0.168298797055047,-0.244913288640605,9.22384489951945,405.247423383173,1.59583494602763e-18,1.94541760128369e-18,"Transcription coregulator activity","6","Dact1","Pcbd1",NA
"Transcription.coactivator.activity",0.150148460111647,-0.0652474992113302,-0.215395959322977,12.2326601769663,386.653759787992,2.59820092311793e-29,3.47249377105992e-29,"Transcription coactivator activity","6","Dact1","Pcbd1",NA
"Catalytic.activity",0.0841812016538756,-0.0200293616725414,-0.104210563326417,19.5849618706407,403.977176464511,1.55964876005539e-60,2.80850827907597e-60,"Catalytic activity","6;6;9;10;14;15","Dact1;Gbp6;Gbp6;Gbp6;Gbp6;Gbp6","Pcbd1;C2;C2;C2;C2;C2","Rhob;Sult5a1;Prdx4;Gbp6"
"Endopeptidase.activity",0.000711745960144852,-0.0663900440860998,-0.0671017900462446,0.107984786337686,419.736963994625,0.914059358923917,0.915919093123152,"Endopeptidase activity","6;9;10;14;15","Gbp6;Gbp6;Gbp6;Gbp6;Gbp6","C2;C2;C2;C2;C2",NA
"Serine.type.endopeptidase.activity",-0.0214867578366191,0.000113536293680262,0.0216002941302993,-2.93756914534267,416.290942852488,0.00349175432426609,0.00368241756895299,"Serine-type endopeptidase activity","6;9;10;14;15","Gbp6;Gbp6;Gbp6;Gbp6;Gbp6","C2;C2;C2;C2;C2",NA
"Monooxygenase.activity",0.149646017949424,0.16291222115555,0.0132662032061258,19.5263868888193,397.647265617405,5.00793935031556e-60,8.85605073619538e-60,"Monooxygenase activity","6","Dact1","Pcbd1",NA
